status	group	title	filename	url	note	error
exists	08_workflow_skill_benchmarks	SkillX / EvoSkill	08_workflow_skill_benchmarks/2026-04_SkillX.pdf	https://arxiv.org/pdf/2604.04804.pdf		
exists	08_workflow_skill_benchmarks	SkillFoundry	08_workflow_skill_benchmarks/2026-04_SkillFoundry.pdf	https://arxiv.org/pdf/2604.03964.pdf		
exists	08_workflow_skill_benchmarks	Graph of Skills	08_workflow_skill_benchmarks/2026-04_Graph_of_Skills.pdf	https://arxiv.org/pdf/2604.05333.pdf		
exists	08_workflow_skill_benchmarks	CUA-Skill	08_workflow_skill_benchmarks/2026-01_CUA-Skill.pdf	https://arxiv.org/pdf/2601.21123.pdf		
exists	08_workflow_skill_benchmarks	SkillFlow	08_workflow_skill_benchmarks/2025-04_SkillFlow.pdf	https://arxiv.org/pdf/2504.06188.pdf		
exists	08_workflow_skill_benchmarks	OpenClaw Chemistry Workflows	08_workflow_skill_benchmarks/2026-03_OpenClaw_Chemistry_Workflows.pdf	https://arxiv.org/pdf/2603.25522.pdf		
exists	08_workflow_skill_benchmarks	SkillRouter	08_workflow_skill_benchmarks/2026-03_SkillRouter.pdf	https://arxiv.org/pdf/2603.22455.pdf		
exists	08_workflow_skill_benchmarks	AgentSkillOS	08_workflow_skill_benchmarks/2026-03_AgentSkillOS.pdf	https://arxiv.org/pdf/2603.02176.pdf		
exists	08_workflow_skill_benchmarks	SkillNet	08_workflow_skill_benchmarks/2026-03_SkillNet.pdf	https://arxiv.org/pdf/2603.04448.pdf		
exists	08_workflow_skill_benchmarks	MCP-Bench	08_workflow_skill_benchmarks/2026_MCP-Bench_ICLR.pdf	https://openreview.net/pdf?id=fe8mzHwMxN		
exists	08_workflow_skill_benchmarks	TRAJECT-Bench	08_workflow_skill_benchmarks/2026_TRAJECT-Bench_ICLR.pdf	https://openreview.net/pdf?id=TZWnWvsQ0X		
exists	08_workflow_skill_benchmarks	General Agent Evaluation	08_workflow_skill_benchmarks/2026-02_General_Agent_Evaluation_IBM.pdf	https://arxiv.org/pdf/2602.22953.pdf		
exists	08_workflow_skill_benchmarks	scBench	08_workflow_skill_benchmarks/2026-02_scBench.pdf	https://arxiv.org/pdf/2602.09063.pdf		
exists	08_workflow_skill_benchmarks	AIRS-Bench	08_workflow_skill_benchmarks/2026-02_AIRS-Bench.pdf	https://arxiv.org/pdf/2602.06855.pdf		
exists	08_workflow_skill_benchmarks	BioAgent Bench	08_workflow_skill_benchmarks/2026-01_BioAgent_Bench.pdf	https://arxiv.org/pdf/2601.21800.pdf		
exists	08_workflow_skill_benchmarks	SciAgentGym	08_workflow_skill_benchmarks/2026-02_SciAgentGym.pdf	https://arxiv.org/pdf/2602.12984.pdf		
exists	08_workflow_skill_benchmarks	MoSciBench	08_workflow_skill_benchmarks/2026_MoSciBench_ICLR.pdf	https://openreview.net/pdf?id=kZHSvETWdi		
